Order Date,Website,Purchase Order Number,Shipment Date,Order Status,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged,Buyer Name,Group Name
5/9/2021,Amazon.com,,5/12/2021,Shipped,$8.22 ,$0.00 ,$0.49 ,$0.00 ,$0.49 ,$8.71 ,PSF,
5/9/2021,Amazon.com,,5/12/2021,Shipped,$3.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$3.00 ,PSF,
5/10/2021,Amazon.com,,5/12/2021,Shipped,$4.35 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$4.35 ,PSF,
5/13/2021,Amazon.com,,7/31/2021,Shipped,$59.95 ,$0.00 ,$3.60 ,$0.00 ,$3.60 ,$63.55 ,PSF,
5/14/2021,Amazon.com,,5/16/2021,Shipped,$39.98 ,$0.00 ,$2.40 ,$0.00 ,$2.40 ,$42.38 ,PSF,
5/14/2021,Amazon.com,,5/15/2021,Shipped,$11.99 ,$0.00 ,$0.72 ,$0.00 ,$0.72 ,$12.71 ,PSF,
5/15/2021,Amazon.com,,5/20/2021,Shipped,$8.94 ,$0.00 ,$0.46 ,$1.34 ,$0.46 ,$8.06 ,PSF,
5/15/2021,Amazon.com,,5/20/2021,Shipped,$15.49 ,$0.00 ,$0.00 ,$2.32 ,$0.00 ,$13.17 ,PSF,
5/15/2021,Amazon.com,,5/16/2021,Shipped,$143.87 ,$0.00 ,$0.30 ,$0.00 ,$0.30 ,$144.17 ,PSF,
5/15/2021,Amazon.com,,5/16/2021,Shipped,$42.97 ,$0.00 ,$2.16 ,$0.00 ,$2.16 ,$45.13 ,PSF,
5/17/2021,Amazon.com,,5/18/2021,Shipped,$20.20 ,$0.00 ,$1.21 ,$0.00 ,$1.21 ,$21.41 ,PSF,
5/17/2021,Amazon.com,,5/19/2021,Shipped,$29.47 ,$0.00 ,$1.65 ,$2.00 ,$1.65 ,$29.12 ,PSF,
5/19/2021,Amazon.com,,5/20/2021,Shipped,$29.99 ,$0.00 ,$1.80 ,$0.00 ,$1.80 ,$31.79 ,PSF,
5/20/2021,Amazon.com,,5/31/2021,Shipped,$63.87 ,$0.00 ,$3.83 ,$0.00 ,$3.83 ,$67.70 ,PSF,
5/20/2021,Amazon.com,,5/23/2021,Shipped,$14.99 ,$0.00 ,$0.90 ,$0.00 ,$0.90 ,$15.89 ,PSF,
5/20/2021,Amazon.com,,5/21/2021,Shipped,$13.99 ,$0.00 ,$0.84 ,$0.00 ,$0.84 ,$14.83 ,PSF,
5/20/2021,Amazon.com,,5/23/2021,Shipped,$68.77 ,$0.00 ,$3.63 ,$8.10 ,$3.63 ,$64.30 ,PSF,
5/23/2021,Amazon.com,,6/21/2021,Shipped,$17.99 ,$0.00 ,$0.97 ,$1.80 ,$0.97 ,$17.16 ,PSF,
5/24/2021,Amazon.com,,5/25/2021,Shipped,$19.99 ,$0.00 ,$1.20 ,$0.00 ,$1.20 ,$21.19 ,PSF,
5/29/2021,Amazon.com,,5/30/2021,Shipped,$142.23 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$142.23 ,PSF,
5/29/2021,Amazon.com,,5/31/2021,Shipped,$4.97 ,$0.00 ,$0.30 ,$0.00 ,$0.30 ,$5.27 ,PSF,
6/1/2021,Amazon.com,,6/2/2021,Shipped,$25.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$25.00 ,PSF,
6/2/2021,Amazon.com,,6/2/2021,Shipped,$15.97 ,$0.00 ,$0.96 ,$0.00 ,$0.96 ,$16.93 ,PSF,
6/2/2021,Amazon.com,,6/21/2021,Shipped,$15.69 ,$0.00 ,$0.90 ,$0.78 ,$0.90 ,$15.81 ,PSF,
6/6/2021,Amazon.com,,6/6/2021,Shipped,$88.07 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$88.07 ,PSF,
6/6/2021,Amazon.com,,6/7/2021,Shipped,$69.99 ,$0.00 ,$4.20 ,$0.00 ,$4.20 ,$74.19 ,PSF,
6/6/2021,Amazon.com,,6/8/2021,Shipped,$31.97 ,$0.00 ,$1.92 ,$0.00 ,$1.92 ,$33.89 ,PSF,
